Binomial,RandomForest,Bagging,supportvector,boosting
0.8865741,0.9076646,0.8634259,0.9007202,0.892489712
0.8865741,0.9097222,0.875,0.900463,0.896604938
0.876286008,0.9063786,0.8757716,0.898919753,0.89840535
0.885802469,0.9084362,0.8744856,0.89840535,0.894032922
0.878858025,0.9097222,0.8773148,0.894290123,0.900977366
0.871656379,0.9079218,0.8701132,0.89686214,0.897119342
0.881687243,0.9079218,0.8721708,0.9007202,0.89377572
0.87654321,0.9063786,0.8616255,0.900463,0.900462963
0.876800412,0.908179,0.8757716,0.900463,0.897376543
0.876286008,0.9079218,0.8752572,0.9007202,0.909207819
0.878343621,0.9084362,0.8726852,0.898919753,0.895061728
0.881430041,0.909465,0.8747428,0.89840535,0.900977366
0.87962963,0.9092078,0.8770576,0.894290123,0.894547325
0.878600823,0.9092078,0.8755144,0.89686214,0.895576132
0.882458848,0.9097222,0.8765432,0.9007202,0.898148148
0.876800412,0.9071502,0.8744856,0.900463,0.897376543
0.871141975,0.9074074,0.8760288,0.900463,0.886316872
0.876028807,0.906893,0.8755144,0.9007202,0.896604938
0.879372428,0.9058642,0.8623971,0.9007202,0.89840535
0.881430041,0.908179,0.8639403,0.9007202,0.89686214
0.871656379,0.9061214,0.8629115,0.9007202,0.898662551
0.874742798,0.9074074,0.8603395,0.9007202,0.891203704
0.886831276,0.9086934,0.8747428,0.903292181,0.904063786
0.885802469,0.908179,0.8621399,0.893518519,0.897633745
0.87962963,0.9089506,0.8752572,0.894290123,0.898662551
0.884516461,0.9076646,0.8618827,0.898919753,0.899176955
0.87962963,0.9079218,0.873714,0.89840535,0.892746914
0.872685185,0.9097222,0.8757716,0.894290123,0.902263374
0.87808642,0.9066358,0.8618827,0.89686214,0.895833333
0.877314815,0.908179,0.8631687,0.891460905,0.897119342
0.875257202,0.9084362,0.8734568,0.897376543,0.896347737
0.877572016,0.9079218,0.8755144,0.894290123,0.900205761
0.872427984,0.9058642,0.869856,0.89223251,0.896090535
0.887602881,0.908179,0.8744856,0.903034979,0.89531893
0.880144033,0.9086934,0.8734568,0.896604938,0.887345679
0.882716049,0.9097222,0.8644547,0.899176955,0.892489712
0.881687243,0.9084362,0.8608539,0.896604938,0.895833333
0.869341564,0.9074074,0.8744856,0.893518519,0.897633745
0.879886831,0.9076646,0.875,0.895833333,0.896347737
0.882716049,0.9089506,0.873714,0.894290123,0.897119342
0.880401235,0.909465,0.8747428,0.893004115,0.89686214
0.879886831,0.9066358,0.8765432,0.888374486,0.905606996
0.870884774,0.9076646,0.8713992,0.889660494,0.894804527
0.873713992,0.9076646,0.8729424,0.893004115,0.89531893
0.883487654,0.9048354,0.8631687,0.900720165,0.895833333
0.879115226,0.9061214,0.8631687,0.897119342,0.893004115
0.878343621,0.906893,0.8641975,0.888631687,0.8968621
0.876028807,0.9084362,0.8641975,0.9007202,0.8968621
0.874742798,0.9066358,0.8631687,0.900463,0.8968621
0.881944444,0.9074074,0.8747428,0.9007202,0.8968621
0.874228395,0.9076646,0.8634259,0.9007202,0.8968621
0.87962963,0.9097222,0.875,0.900463,0.892489712
0.874228395,0.9063786,0.8757716,0.9007202,0.896604938
0.8865741,0.9084362,0.8744856,0.9007202,0.89840535
0.8865741,0.9097222,0.8773148,0.9007202,0.894032922
0.8865741,0.9079218,0.8701132,0.9007202,0.900977366
0.886831276,0.9079218,0.8721708,0.9007202,0.897119342
0.885802469,0.9063786,0.8616255,0.9007202,0.89377572
0.87962963,0.908179,0.8757716,0.900463,0.900462963
0.884516461,0.9079218,0.8752572,0.9007202,0.897376543
0.87962963,0.9084362,0.8726852,0.9007202,0.909207819
0.872685185,0.909465,0.8747428,0.9007202,0.895061728
0.874485597,0.9092078,0.8770576,0.9007202,0.900977366
0.875,0.9092078,0.8755144,0.900463,0.894547325
0.874485597,0.9097222,0.8765432,0.9007202,0.895576132
0.880658436,0.9071502,0.8744856,0.900463,0.898148148
0.87654321,0.9074074,0.8760288,0.900463,0.897376543
0.883487654,0.906893,0.8755144,0.9007202,0.886316872
0.873199588,0.9058642,0.8623971,0.9007202,0.896604938
0.87962963,0.908179,0.8639403,0.903292181,0.89840535
0.878600823,0.9061214,0.8629115,0.893518519,0.89686214
0.87962963,0.9074074,0.8603395,0.894290123,0.882716049
0.87808642,0.9086934,0.8747428,0.898919753,0.897633745
0.877314815,0.908179,0.8621399,0.89840535,0.898919753
0.875257202,0.9089506,0.8752572,0.894290123,0.900977366
0.877572016,0.9076646,0.8618827,0.89686214,0.896604938
0.872427984,0.9079218,0.873714,0.891460905,0.888888889
0.887602881,0.9097222,0.8757716,0.897376543,0.895061728
0.8865741,0.9066358,0.8618827,0.894290123,0.895061728
0.8865741,0.908179,0.8631687,0.89223251,0.892489712
0.8865741,0.9084362,0.8734568,0.903034979,0.900205761
0.8865741,0.9079218,0.8755144,0.896604938,0.889146091
0.886831276,0.9058642,0.869856,0.899176955,0.895061728
0.885802469,0.908179,0.8744856,0.896604938,0.90149177
0.87962963,0.9086934,0.8734568,0.893518519,0.895576132
0.884516461,0.9097222,0.8644547,0.895833333,0.902006173
0.87962963,0.9084362,0.8608539,0.894290123,0.898662551
0.872685185,0.9074074,0.8744856,0.893004115,0.897376543
0.874485597,0.9076646,0.875,0.888374486,0.895833333
0.875,0.9089506,0.873714,0.889660494,0.892746914
0.874485597,0.909465,0.8747428,0.893004115,0.899434156
0.880658436,0.9066358,0.8765432,0.900720165,0.892746914
0.87654321,0.9076646,0.8713992,0.897119342,0.892489712
0.883487654,0.9076646,0.8729424,0.888631687,0.882716049
0.873199588,0.9048354,0.8631687,0.900463,0.895061728
0.87962963,0.9061214,0.8631687,0.9007202,0.892489712
0.878600823,0.906893,0.8641975,0.9007202,0.898148148
0.87962963,0.9084362,0.8641975,0.9007202,0.897119342
0.87808642,0.9066358,0.8631687,0.900463,0.897376543
0.877314815,0.9074074,0.8747428,0.9007202,0.899434156
